WKT,id
"MULTIPOLYGON (((541886.6194198467 4136580.945291368, 541886.6194198467 4136588.089055654, 541891.3025542134 4136588.089055654, 541891.3025542134 4136580.945291368, 541886.6194198467 4136580.945291368)))",MLBSE00048
"MULTIPOLYGON (((541876.300649208 4136584.755298989, 541876.300649208 4136589.041557563, 541879.4756555595 4136589.041557563, 541879.4756555595 4136584.755298989, 541876.300649208 4136584.755298989)))",MLBSE00049
"MULTIPOLYGON (((541989.1851336602 4136500.306965154, 541989.1851336602 4136505.003328718, 541992.7570158029 4136505.003328718, 541992.7570158029 4136500.306965154, 541989.1851336602 4136500.306965154)))",MLBSE00045
"MULTIPOLYGON (((541989.9903196767 4136191.608711008, 541989.9903196767 4136198.024869673, 541996.4064783417 4136198.024869673, 541996.4064783417 4136191.608711008, 541989.9903196767 4136191.608711008)))",MLBSE00078
"MULTIPOLYGON (((541990.7791184718 4136182.039832715, 541990.7791184718 4136188.323699448, 541996.6661094129 4136188.323699448, 541996.6661094129 4136182.039832715, 541990.7791184718 4136182.039832715)))",MLBSE00084
"MULTIPOLYGON (((541980.9347984847 4136174.873959085, 541980.9347984847 4136179.901052471, 541985.8295999402 4136179.901052471, 541985.8295999402 4136174.873959085, 541980.9347984847 4136174.873959085)))",MLBSE00006
"MULTIPOLYGON (((541983.0514693847 4136168.127070593, 541983.0514693847 4136174.940105051, 541987.1525192531 4136174.940105051, 541987.1525192531 4136168.127070593, 541983.0514693847 4136168.127070593)))",MLBSE00007
"MULTIPOLYGON (((541988.5496982681 4136168.288289364, 541988.5496982681 4136172.826861186, 541992.3280848209 4136172.826861186, 541992.3280848209 4136168.288289364, 541988.5496982681 4136168.288289364)))",MLBSE00077
"MULTIPOLYGON (((541975.029410869 4136080.133251712, 541975.029410869 4136085.338780014, 541981.3978202427 4136085.338780014, 541981.3978202427 4136080.133251712, 541975.029410869 4136080.133251712)))",MLBSE00001
"MULTIPOLYGON (((541980.6376108658 4136084.097042855, 541980.6376108658 4136089.203511402, 541986.4584558401 4136089.203511402, 541986.4584558401 4136084.097042855, 541980.6376108658 4136084.097042855)))",MLBSE00082
"MULTIPOLYGON (((542003.9535945216 4136079.676685357, 542003.9535945216 4136085.23294647, 542009.3511053156 4136085.23294647, 542009.3511053156 4136079.676685357, 542003.9535945216 4136079.676685357)))",MLBSE00002
"MULTIPOLYGON (((542024.5968173351 4136774.834330188, 542024.5968173351 4136781.184342891, 542031.3437058292 4136781.184342891, 542031.3437058292 4136774.834330188, 542024.5968173351 4136774.834330188)))",MLBSE00037
"MULTIPOLYGON (((542024.3057750864 4136737.713214282, 542024.3057750864 4136745.650730154, 542031.8199567813 4136745.650730154, 542031.8199567813 4136737.713214282, 542024.3057750864 4136737.713214282)))",MLBSE00038
"MULTIPOLYGON (((541946.2346249158 4136153.667562505, 541946.2346249158 4136158.496217996, 541951.7247400638 4136158.496217996, 541951.7247400638 4136153.667562505, 541946.2346249158 4136153.667562505)))",MLBSE00004
"MULTIPOLYGON (((541948.9652688755 4136149.961888131, 541948.9652688755 4136154.395168129, 541952.9340268131 4136154.395168129, 541952.9340268131 4136149.961888131, 541948.9652688755 4136149.961888131)))",MLBSE00081
"MULTIPOLYGON (((542030.3118287651 4136611.023846321, 542030.3118287651 4136615.257188119, 542034.4790246002 4136615.257188119, 542034.4790246002 4136611.023846321, 542030.3118287651 4136611.023846321)))",MLBSE00040
"MULTIPOLYGON (((542026.210778897 4136620.443031823, 542026.210778897 4136626.23741841, 542032.0845406429 4136626.23741841, 542032.0845406429 4136620.443031823, 542026.210778897 4136620.443031823)))",MLBSE00105
"MULTIPOLYGON (((542035.894548262 4136613.775518487, 542035.894548262 4136619.649280237, 542042.3239361222 4136619.649280237, 542042.3239361222 4136613.775518487, 542035.894548262 4136613.775518487)))",MLBSE00106
"MULTIPOLYGON (((542046.3486976447 4136385.179691507, 542046.3486976447 4136390.81532778, 542050.7937065354 4136390.81532778, 542050.7937065354 4136385.179691507, 542046.3486976447 4136385.179691507)))",MLBSE00052
"MULTIPOLYGON (((542051.4287078045 4136383.512813171, 542051.4287078045 4136387.957822064, 542056.1912173312 4136387.957822064, 542056.1912173312 4136383.512813171, 542051.4287078045 4136383.512813171)))",MLBSE00053
"MULTIPOLYGON (((542050.7407897651 4136387.422039741, 542050.7407897651 4136393.375176651, 542056.5947077196 4136393.375176651, 542056.5947077196 4136387.422039741, 542050.7407897651 4136387.422039741)))",MLBSE00118
"MULTIPOLYGON (((542054.5111098042 4136392.58142506, 542054.5111098042 4136397.105809109, 542058.4004925838 4136397.105809109, 542058.4004925838 4136392.58142506, 542054.5111098042 4136392.58142506)))",MLBSE00119
"MULTIPOLYGON (((541885.1112918304 4136552.68773485, 541885.1112918304 4136558.574725794, 541889.7415094255 4136558.574725794, 541889.7415094255 4136552.68773485, 541885.1112918304 4136552.68773485)))",MLBSE00051
"MULTIPOLYGON (((542077.1012799852 4136400.757066412, 542077.1012799852 4136404.408323713, 542080.5937869688 4136404.408323713, 542080.5937869688 4136400.757066412, 542077.1012799852 4136400.757066412)))",MLBSE00056
"MULTIPOLYGON (((542068.6834399153 4136394.615922228, 542068.6834399153 4136401.557432596, 542076.0826321142 4136401.557432596, 542076.0826321142 4136394.615922228, 542068.6834399153 4136394.615922228)))",MLBSE00057
"MULTIPOLYGON (((542086.0495062144 4136386.813496858, 542086.0495062144 4136391.258505747, 542088.6953448402 4136391.258505747, 542088.6953448402 4136386.813496858, 542086.0495062144 4136386.813496858)))",MLBSE00054
"MULTIPOLYGON (((542078.2442822699 4136382.500779897, 542078.2442822699 4136390.993921885, 542084.5149198119 4136390.993921885, 542084.5149198119 4136382.500779897, 542078.2442822699 4136382.500779897)))",MLBSE00055
